Left	Grapheme	Right	Class	Replacement
	áá			a᷄
	aa			ā
	ii			ī
	uu			ū
	ee			ē
	oo			ō
	əə			ə̄
	ãã			ã̄
	ã́ã́			ā̃́
	ẽẽ			ẽ̄
	íí			i᷄
	ĩĩ			ĩ̄
	ĩ́ĩ́			ĩ᷄
	óó			o᷄
	õõ			ȭ
	ṍṍ			õ᷄
	úú			u᷄
	ũũ			ũ̄
	ṹṹ			ũ᷄
	ə̃ə̃			ə̃̄
	:			͜
	ː			͜
